educ,age,cigs
16,46,0
16,40,0
12,58,3
13.5,30,0
10,17,0
6,86,0
12,35,0
15,48,0
12,48,0
12,31,0
13.5,27,10
12,24,20
10,71,30
6,44,0
16,22,0
12,29,20
12,33,0
12,34,30
13.5,30,0
10,48,20
6,61,0
18,49,0
12,33,0
16,24,0
16,36,0
15,39,12
18,38,0
12,29,30
18,23,0
16,51,0
13.5,28,0
10,47,30
10,80,0
10,62,2
10,51,0
10,51,35
12,69,0
12,28,0
18,38,0
15,30,0
18,32,25
8,71,0
10,18,0
13.5,26,15
10,30,20
12,19,0
12,19,20
13.5,21,0
16,44,0
10,69,30
16,53,0
8,53,20
6,38,10
10,49,20
18,24,0
16,57,0
15,28,0
12,32,20
13.5,55,0
13.5,47,0
13.5,26,0
10,26,20
16,61,0
10,48,0
18,32,0
16,29,0
18,47,0
10,62,0
16,30,0
13.5,21,0
12,28,0
12,50,20
12,69,0
13.5,37,60
12,40,20
6,47,3
10,78,0
18,38,0
13.5,25,0
12,67,0
13.5,50,12
13.5,47,0
8,76,0
8,28,0
12,32,0
12,28,0
12,53,20
12,57,0
18,42,0
15,49,0
18,31,25
12,20,0
18,45,40
18,63,0
15,61,0
13.5,35,30
6,59,0
10,17,0
18,38,0
13.5,41,0
12,35,0
12,40,0
13.5,37,0
12,27,13
12,48,0
12,18,0
12,43,0
10,20,0
8,19,1
13.5,22,0
16,60,0
13.5,47,0
10,77,0
13.5,26,0
12,37,20
13.5,40,15
6,44,0
6,65,0
16,26,0
8,77,0
12,73,0
10,64,0
13.5,28,0
13.5,26,20
10,64,20
12,29,0
12,55,40
12,54,0
15,42,10
13.5,70,0
16,71,0
12,24,0
10,38,20
15,73,0
18,29,0
13.5,24,0
12,25,0
15,22,0
12,36,5
12,28,0
13.5,27,40
13.5,28,8
12,53,0
13.5,23,15
12,19,15
15,25,0
13.5,34,20
13.5,20,0
10,17,0
16,51,20
12,44,30
12,29,60
8,65,0
12,53,0
8,46,0
18,51,0
18,66,0
8,42,0
16,32,40
13.5,53,25
8,70,0
10,30,30
18,42,0
12,69,0
10,18,0
12,22,10
6,38,40
10,52,20
10,17,0
12,46,0
16,46,0
12,35,0
12,22,16
12,54,20
12,58,40
10,27,15
18,47,40
16,53,40
12,29,10
13.5,29,0
13.5,47,0
8,67,10
18,31,0
12,27,0
12,34,0
10,25,0
12,46,30
16,50,50
6,69,0
13.5,32,0
12,64,0
15,30,0
8,78,0
13.5,46,0
13.5,49,60
12,30,0
10,23,20
12,27,15
18,28,20
10,26,30
6,44,0
13.5,54,30
12,54,0
12,66,13
18,49,0
16,77,0
12,74,0
18,69,0
13.5,78,0
13.5,57,20
8,53,0
16,88,0
12,79,0
12,21,0
18,30,0
18,39,0
15,25,9
10,58,0
13.5,23,15
16,30,28
10,31,40
16,31,0
16,50,0
8,20,0
13.5,24,0
12,33,0
16,39,0
13.5,19,0
12,31,20
13.5,40,50
16,39,0
15,23,7
8,71,0
6,54,0
10,33,20
18,30,0
12,31,20
18,46,0
12,75,0
8,40,20
12,66,0
18,45,40
8,73,0
12,31,30
13.5,27,0
10,50,0
12,45,0
12,22,30
13.5,44,0
10,51,5
6,59,0
10,59,0
12,66,0
13.5,35,3
10,17,15
12,35,0
16,30,0
12,23,0
8,60,0
18,27,0
16,37,0
15,42,0
8,87,0
13.5,26,20
12,20,15
10,65,0
12,35,20
18,38,0
10,64,20
10,62,0
12,47,1
10,52,20
13.5,32,0
16,26,15
18,35,0
16,35,0
10,24,0
8,77,1
13.5,24,20
8,63,20
18,58,0
10,69,0
13.5,62,50
12,27,0
13.5,30,20
10,51,0
12,32,0
10,51,20
6,53,0
13.5,20,0
13.5,22,40
16,24,0
12,23,0
12,65,0
8,21,20
8,19,0
10,24,20
12,34,30
10,54,6
18,50,15
13.5,65,20
12,33,20
8,69,0
15,26,30
8,69,0
12,59,20
12,35,20
6,54,0
13.5,28,0
12,28,15
10,77,30
12,64,0
10,52,40
10,21,30
10,46,0
12,24,0
12,31,30
12,26,0
10,79,0
12,53,30
12,32,40
15,21,0
15,18,0
13.5,30,0
12,20,15
8,69,40
8,59,20
12,56,30
18,43,0
10,40,40
16,37,0
10,36,0
13.5,28,40
12,33,0
16,63,0
8,51,20
12,33,10
13.5,39,0
12,21,20
13.5,37,0
18,70,0
12,20,0
16,27,0
16,28,4
16,30,0
13.5,52,20
18,24,0
12,71,0
12,39,50
12,19,10
13.5,21,0
16,33,0
13.5,51,0
8,54,20
13.5,44,25
12,43,0
6,68,0
12,22,0
10,54,40
16,37,30
13.5,22,15
18,65,0
12,30,30
12,19,2
15,35,0
10,59,0
12,18,0
12,44,20
16,37,0
12,37,20
12,19,0
12,25,0
16,31,20
12,19,0
10,18,0
16,28,20
18,46,0
12,27,0
12,58,0
12,19,0
13.5,30,3
13.5,58,30
6,42,10
13.5,45,0
10,18,14
12,40,20
13.5,66,0
12,64,20
12,43,20
10,53,0
16,36,30
13.5,43,20
18,25,0
12,35,0
16,29,0
12,18,0
12,20,0
12,19,0
10,17,0
18,29,20
8,65,0
12,42,0
16,32,0
18,36,0
16,57,0
12,31,0
10,17,0
10,17,0
8,45,8
12,19,10
8,74,0
12,46,25
13.5,27,0
12,66,0
16,44,0
12,33,0
12,64,0
13.5,54,1
10,27,30
6,75,0
10,19,0
6,69,20
12,30,0
12,64,0
13.5,37,0
12,31,0
12,30,2
6,38,0
12,20,0
12,21,20
12,19,0
18,71,0
10,49,18
10,42,0
8,54,10
13.5,24,20
12,60,0
12,54,0
10,28,20
8,67,0
12,56,40
16,36,0
12,25,0
13.5,34,0
10,20,5
13.5,21,10
12,42,0
13.5,28,20
18,29,0
8,70,20
12,32,30
13.5,42,40
10,17,30
12,24,0
15,64,0
12,57,60
16,51,0
13.5,29,18
10,66,20
13.5,62,15
16,29,40
6,58,0
15,53,0
13.5,38,0
12,24,0
8,59,0
16,30,0
8,37,0
12,43,0
12,60,0
10,24,40
12,60,0
8,82,0
12,61,0
10,66,0
15,33,0
10,26,19
8,85,20
13.5,32,0
10,27,0
12,30,20
12,30,0
13.5,47,0
12,18,0
12,20,0
18,32,0
18,30,0
10,17,0
12,22,10
13.5,43,0
10,56,40
6,64,0
6,76,0
12,28,30
18,37,0
15,38,0
16,52,20
8,68,0
12,75,0
13.5,54,20
18,36,40
6,37,0
13.5,23,28
6,36,5
10,44,0
18,56,0
10,64,0
13.5,45,28
12,56,30
8,62,0
15,62,0
16,52,0
10,18,0
12,47,0
18,52,0
12,18,0
13.5,26,20
15,22,0
6,65,0
12,38,20
13.5,20,0
16,41,60
16,28,20
16,57,0
10,44,7
13.5,32,0
13.5,22,15
16,30,0
16,30,0
10,59,40
6,42,0
10,31,20
12,39,0
8,65,0
10,78,10
10,17,0
18,34,0
16,39,0
10,49,0
12,51,0
12,19,0
12,26,30
12,82,0
12,38,10
12,32,30
10,27,30
12,35,0
10,54,0
12,37,20
10,60,10
10,17,11
16,28,40
8,35,40
10,40,20
6,24,0
18,41,0
8,47,0
13.5,22,0
18,29,0
10,17,30
13.5,40,40
13.5,32,10
13.5,47,0
10,58,20
18,74,0
12,49,20
6,69,0
16,25,0
6,71,0
12,66,1
10,25,20
10,50,0
13.5,19,0
6,28,3
15,22,0
13.5,49,20
12,39,20
10,19,9
12,60,0
18,37,18
12,62,0
12,20,0
16,23,1
10,45,60
12,28,40
12,20,6
12,51,0
12,62,0
12,55,0
16,26,0
12,41,10
13.5,67,0
10,19,20
18,33,0
18,29,0
12,49,20
12,29,20
15,32,0
16,31,60
10,17,50
13.5,33,0
12,21,0
10,59,30
13.5,25,20
8,32,60
12,25,0
13.5,61,40
18,66,0
10,22,25
12,24,10
18,43,0
12,51,0
16,45,0
12,45,0
18,66,0
12,38,0
10,49,30
13.5,29,1
16,45,33
18,43,80
12,49,0
13.5,20,0
13.5,41,20
12,31,0
13.5,28,0
12,36,0
18,37,0
12,18,0
15,22,0
18,33,0
10,76,0
13.5,34,0
13.5,78,0
12,31,15
10,42,0
18,32,10
8,80,0
12,40,10
16,53,0
6,82,0
6,18,11
8,46,10
12,60,0
8,78,0
12,47,0
10,17,0
12,27,2
18,48,0
18,39,0
12,25,0
12,30,10
18,59,0
16,47,0
12,32,20
10,17,20
13.5,23,0
12,20,0
13.5,32,0
13.5,19,10
12,23,0
10,18,0
12,54,30
12,65,20
8,55,0
12,29,30
12,19,8
16,27,0
12,26,35
10,59,20
12,25,0
16,78,0
6,69,20
10,58,0
15,24,0
12,54,0
12,48,0
12,59,30
10,38,40
16,29,0
12,33,50
6,32,0
18,36,0
6,49,20
16,69,0
12,18,20
18,72,0
18,35,40
8,71,0
13.5,47,0
12,20,0
12,43,0
12,65,0
8,23,10
12,44,40
13.5,28,0
18,67,0
13.5,32,0
8,37,0
13.5,32,4
6,57,0
10,55,30
12,31,0
12,57,0
13.5,54,0
16,24,25
13.5,33,0
16,49,0
10,19,0
16,50,20
18,58,0
10,65,0
10,18,0
12,31,20
12,34,0
12,55,0
16,28,0
12,65,20
8,68,15
13.5,29,0
12,29,10
12,61,0
16,45,0
15,66,0
12,18,0
16,44,40
12,41,0
6,31,0
12,61,40
10,29,0
13.5,70,12
6,49,20
16,35,0
12,28,15
12,30,0
13.5,23,0
12,35,0
12,24,0
16,22,0
10,49,0
12,38,30
12,22,0
16,45,0
18,39,0
15,61,0
12,19,0
18,36,0
10,21,0
16,38,0
12,39,0
18,29,0
13.5,44,0
12,46,10
13.5,26,0
13.5,30,0
12,47,40
6,64,0
12,18,5
12,37,20
10,67,0
10,29,20
18,60,5
12,39,0
13.5,59,15
6,75,0
12,19,15
13.5,27,6
13.5,62,0
12,63,20
12,60,0
12,46,20
12,28,0
13.5,20,15
12,50,0
15,43,0
12,45,55
12,62,0
6,70,12
12,58,0
12,21,0
13.5,27,0
18,47,0
10,68,0
10,17,2
16,35,0
12,37,0
16,30,20
10,19,0
12,54,30
12,41,10
12,34,0
13.5,28,20
13.5,26,30
12,18,0
12,19,0
6,29,0
8,60,15
18,50,0
12,52,40
15,22,5
10,38,40
10,63,0
16,23,0
18,52,20
18,31,0
16,30,0
10,18,0
10,47,20
