act,satv,satq
24,500,500
35,600,500
21,480,470
26,550,520
31,600,550
28,640,640
36,610,500
22,520,560
22,400,600
35,730,800
32,760,710
29,710,600
21,600,600
35,780,725
27,640,630
27,640,590
33,640,650
32,700,620
28,640,580
32,610,680
28,620,450
30,600,500
31,750,700
30,600,600
31,460,540
30,680,650
30,700,700
21,375,385
28,450,450
33,600,500
28,500,500
24,500,710
27,520,710
31,620,570
33,660,580
29,600,600
28,500,600
24,630,570
27,630,540
31,710,690
28,530,610
29,800,610
30,700,700
36,660,610
36,560,740
26,770,540
33,660,650
27,800,600
23,440,440
33,800,690
35,670,780
28,680,600
28,610,590
33,600,760
34,800,740
26,550,700
36,650,650
28,800,640
18,429,450
34,800,760
34,700,700
32,550,750
36,600,650
34,600,760
21,550,550
31,560,680
22,490,530
29,650,610
29,600,600
24,550,550
26,450,450
29,520,740
28,680,530
32,650,750
32,650,700
27,565,565
28,680,590
32,540,590
15,375,375
21,600,550
26,500,500
25,600,500
31,700,760
26,580,580
28,600,590
33,650,700
24,520,530
32,600,550
31,700,700
30,450,250
32,660,720
36,780,690
32,680,700
30,780,760
27,640,600
35,790,720
29,700,600
33,633,729
30,240,600
32,790,660
26,600,650
36,680,750
36,620,660
27,540,680
26,600,700
29,600,610
23,700,650
23,520,550
29,690,710
32,720,480
32,700,740
30,620,720
28,530,630
23,580,560
36,580,700
26,550,700
36,500,500
34,600,660
23,480,500
28,450,500
23,600,550
28,540,650
32,640,800
16,510,400
29,650,600
29,600,730
29,570,560
32,660,700
26,550,500
23,500,NA
35,450,500
28,500,500
25,560,570
23,650,400
36,750,790
30,660,600
30,600,600
33,760,620
31,620,700
28,580,720
35,420,680
32,720,610
26,400,690
34,690,770
34,690,770
32,780,550
24,540,530
32,650,720
23,420,320
35,800,800
24,800,800
30,600,600
26,800,800
26,740,700
30,700,700
34,760,745
19,500,500
23,570,630
31,725,465
28,675,500
32,580,800
25,350,350
26,500,600
31,720,650
34,700,760
31,540,720
30,700,700
36,700,750
32,603,695
33,590,680
29,640,670
25,620,540
30,500,500
34,500,500
32,800,800
29,700,680
25,540,640
32,600,600
33,700,680
35,600,600
26,650,650
24,460,580
23,700,400
35,800,750
27,750,678
28,600,530
27,600,600
28,650,675
32,640,630
34,740,560
27,550,575
31,630,650
17,600,500
25,350,350
36,700,700
29,650,610
30,600,NA
29,650,600
28,650,650
28,620,600
30,679,678
30,390,720
31,790,660
29,650,650
28,620,660
26,420,450
31,640,670
25,640,620
21,580,480
24,500,500
36,550,555
34,770,800
32,700,710
23,560,630
36,800,770
34,730,710
28,580,600
19,440,560
31,650,550
21,245,350
19,400,450
22,450,460
30,700,700
18,380,540
36,710,680
28,590,620
24,625,650
28,760,620
23,490,580
30,770,660
22,550,600
23,540,430
25,520,580
25,520,670
24,620,480
30,600,600
30,720,650
24,650,500
22,550,490
22,580,640
27,570,570
27,600,680
35,750,720
16,500,500
28,670,660
25,600,600
23,570,570
32,770,NA
25,625,650
28,550,550
35,200,200
28,640,690
24,600,460
27,445,525
30,650,675
34,750,700
35,600,700
33,780,650
19,500,500
25,590,570
35,600,600
26,430,430
24,620,540
20,600,300
30,500,500
32,700,700
30,690,760
29,700,770
28,500,600
23,650,500
36,700,500
25,550,700
29,690,700
20,475,475
32,600,400
24,640,750
30,600,600
33,780,650
21,600,480
20,330,520
32,740,720
30,300,300
31,560,780
25,660,520
18,300,400
25,540,550
26,450,450
29,660,680
33,660,800
31,750,725
25,430,540
27,720,690
36,760,730
32,680,640
32,640,700
26,680,540
23,500,540
34,600,610
27,640,640
30,710,650
30,750,420
28,550,600
25,500,500
20,480,480
26,600,640
33,800,770
23,480,450
33,750,740
25,500,510
27,700,650
26,530,600
28,700,700
28,600,700
35,700,750
21,500,450
28,720,450
29,600,600
32,790,750
30,650,650
18,440,300
32,700,700
32,670,750
27,680,540
17,300,300
28,600,600
21,490,480
30,650,650
25,640,420
32,720,730
35,720,790
32,740,620
16,430,350
27,500,500
27,700,650
20,300,300
31,680,700
30,550,660
24,540,540
26,590,520
19,590,742
24,500,400
27,580,500
35,600,800
27,600,570
32,700,690
26,412,680
25,650,500
29,670,640
36,480,700
30,600,600
25,700,650
22,530,520
27,540,540
23,657,609
34,700,800
31,730,690
33,700,780
31,780,640
26,500,580
35,650,750
33,590,770
29,620,680
28,800,500
27,600,NA
27,400,450
31,670,680
31,630,600
32,640,660
22,560,450
35,350,230
25,530,570
25,560,580
23,550,600
26,450,500
27,590,530
27,650,NA
34,730,710
30,500,500
32,690,730
26,600,450
25,570,550
29,410,760
22,600,450
28,700,740
35,740,770
24,690,690
27,400,540
32,790,650
17,300,300
18,420,440
20,510,420
35,700,640
32,750,690
24,600,400
32,700,710
29,650,500
28,600,650
27,475,475
27,610,730
20,500,490
22,520,630
33,650,635
30,670,550
34,770,780
28,600,450
32,600,600
30,450,350
23,540,520
34,760,670
26,700,450
32,600,500
22,550,550
29,550,620
23,450,550
35,700,600
32,660,740
31,650,620
27,740,670
29,670,NA
29,730,560
33,720,710
35,600,700
21,400,480
24,800,800
29,410,760
30,650,650
30,550,550
32,600,720
28,650,650
28,700,700
25,580,660
28,700,700
33,730,710
32,500,650
20,400,400
21,500,420
28,600,770
35,500,600
26,690,490
3,200,400
21,510,510
21,450,550
32,640,480
31,610,670
27,620,500
35,760,750
32,730,780
24,620,670
34,640,640
32,710,710
31,800,750
36,600,650
23,600,300
28,650,700
35,730,720
22,540,600
26,600,600
29,620,590
29,650,650
21,600,500
31,750,650
36,530,680
25,400,400
27,600,480
17,480,400
32,750,750
32,500,700
22,540,590
26,689,654
30,630,630
25,600,600
25,600,600
34,500,600
24,410,680
20,450,450
32,650,620
25,610,590
21,550,440
22,350,450
35,797,720
20,470,470
23,500,600
23,500,700
29,690,640
21,500,500
28,420,530
35,750,640
34,799,799
36,800,800
15,600,600
34,700,800
28,600,600
24,510,550
23,570,600
22,350,450
32,790,750
21,490,560
35,500,NA
26,620,590
15,470,500
32,630,730
28,550,600
28,560,430
25,480,480
30,300,400
28,700,500
20,400,400
22,444,333
20,450,450
18,460,460
32,650,450
35,750,700
30,640,750
25,500,765
26,530,NA
21,500,500
24,560,610
16,500,450
30,450,450
28,700,500
34,600,600
35,600,600
25,530,NA
34,600,600
27,550,670
31,760,620
27,680,660
34,730,700
31,770,600
27,580,620
27,630,680
36,765,677
30,650,640
15,600,596
23,620,660
26,530,530
35,710,710
33,660,780
34,710,710
35,660,650
27,620,590
31,680,680
33,800,700
29,750,600
21,650,500
19,419,420
25,410,410
30,600,650
21,500,550
23,550,440
32,720,600
21,650,500
25,500,300
27,580,530
29,530,600
20,400,400
32,720,730
28,600,610
32,600,600
32,680,720
35,760,780
18,420,490
32,700,700
31,730,680
20,400,400
32,750,800
33,680,740
34,700,760
31,650,720
30,690,720
34,700,770
32,720,670
28,690,620
34,800,720
31,670,730
29,740,690
34,760,720
32,650,710
31,640,700
32,700,680
32,680,NA
27,600,600
33,710,740
30,700,640
27,670,670
31,770,800
33,740,740
31,660,660
33,780,800
30,600,400
32,770,640
31,700,710
33,700,680
35,800,680
32,700,700
32,770,640
33,670,690
36,650,720
26,670,510
34,720,690
36,730,770
31,760,640
30,600,500
24,560,590
34,630,640
34,700,670
29,650,650
30,600,600
31,730,660
31,660,670
26,580,500
32,730,690
30,300,350
28,710,600
32,580,650
32,700,750
25,300,300
32,785,795
36,600,700
25,600,600
29,580,690
28,600,600
32,660,650
28,600,600
33,730,710
35,720,690
27,570,500
32,560,700
35,740,740
29,610,430
26,500,684
31,710,610
34,650,750
26,570,430
35,720,780
35,730,770
28,600,600
27,550,550
20,500,NA
31,670,760
34,675,680
22,460,400
35,650,800
22,670,720
22,700,700
35,650,800
34,720,800
32,650,750
31,770,670
25,550,530
32,600,750
31,740,620
29,500,500
32,400,500
27,760,530
27,610,NA
34,690,740
22,300,300
36,800,670
36,650,700
34,710,690
33,740,800
34,700,750
21,540,500
28,620,580
29,650,700
25,640,600
31,710,540
29,560,690
31,640,600
22,480,520
23,750,500
33,700,720
36,750,NA
30,500,600
30,650,700
36,590,620
32,690,790
33,740,700
28,450,550
31,600,600
32,650,410
34,760,710
33,400,600
36,760,760
30,490,490
30,600,600
27,610,500
33,640,680
32,650,600
33,750,690
25,600,610
26,700,700
27,640,660
26,710,680
30,500,500
27,613,630
31,700,630
32,700,780
25,600,600
